"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Funding Details","Sponsors","Conference name","Conference date","Conference location","Conference code"
"Kirby M.G.; Scott A.J.; Walsh C.L.","Kirby, Matthew G. (57222412709); Scott, Alister J. (55197281800); Walsh, Claire L. (7401952506)","57222412709; 55197281800; 7401952506","Translating policy to place: exploring cultural ecosystem services in areas of Green Belt through participatory mapping","2023","Ecosystems and People","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176439328&doi=10.1080%2f26395916.2023.2276752&partnerID=40&md5=3637d36204187443300233fb3ee22ccc","Department of Geography and Environmental Sciences, Northumbria University, Newcastle Upon Tyne, United Kingdom; School of Engineering, Newcastle University, Newcastle upon Tyne, United Kingdom","Kirby M.G., Department of Geography and Environmental Sciences, Northumbria University, Newcastle Upon Tyne, United Kingdom; Scott A.J., Department of Geography and Environmental Sciences, Northumbria University, Newcastle Upon Tyne, United Kingdom; Walsh C.L., School of Engineering, Newcastle University, Newcastle upon Tyne, United Kingdom","ecosystem services; Green Belt; peri-urban; Public Participatory Geographic Information Systems (PPGIS); public participatory mapping; recreation","England; United Kingdom; deciduous tree; ecosystem service; land cover; mapping; participatory approach; policy strategy; sense of place; urban area; woodland","North-East England; Natural Environment Research Council, NERC, (NE/R00398X/1, NE/S007512/1)","","","","",""
"Kabadayı M.E.; Sefer A.; Boykov G.; Gerrits P.","Kabadayı, M. Erdem (57204831845); Sefer, Akın (55783404300); Boykov, Grigor (57192851639); Gerrits, Piet (57223050734)","57204831845; 55783404300; 57192851639; 57223050734","Making of a mid-nineteenth century Ottoman gazetteer and mapping and examining late Ottoman population geography","2022","Journal of the Ottoman and Turkish Studies Association","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169011584&doi=10.2979%2fjottturstuass.9.2.25&partnerID=40&md5=ee81175ca05b584758b1f1979fddd6ea","The Department of History, Koç University, Turkey; Koç University, Turkey; The University of Vienna, Austria; Geospatial Data Science, The University of Glasgow, United Kingdom","Kabadayı M.E., The Department of History, Koç University, Turkey; Sefer A., Koç University, Turkey; Boykov G., The University of Vienna, Austria; Gerrits P., Geospatial Data Science, The University of Glasgow, United Kingdom","historical GIS; nüfus registers; Ottoman gazetteer; population geography; spatial analysis","","ERC-StG; H2020 Marie Skłodowska-Curie Actions, MSCA; European Commission, EC","","","","",""
"Ogg G.; Wartmann F.M.","Ogg, G. (58755569300); Wartmann, F.M. (35331414700)","58755569300; 35331414700","Geographies of landscape aesthetics: mapping landscape terminology in digitised historical travel accounts of Loch Lomond and the Trossachs","2023","Scottish Geographical Journal","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179370970&doi=10.1080%2f14702541.2023.2289495&partnerID=40&md5=6afe1dba2757e0081c344464e06ad84d","Department of Geography & Environment, School of Geosciences, University of Aberdeen, King’s College, Aberdeen, United Kingdom","Ogg G., Department of Geography & Environment, School of Geosciences, University of Aberdeen, King’s College, Aberdeen, United Kingdom; Wartmann F.M., Department of Geography & Environment, School of Geosciences, University of Aberdeen, King’s College, Aberdeen, United Kingdom","Digital and spatial humanities; historical cultural landscape values; historical text analysis; historical travel writing; literary GIS; picturesque landscape aesthetics","","","","","","",""
"Doel M.A.","Doel, Marcus A. (7003749333)","7003749333","Film. Geography: stirring still remains","2022","GeoJournal","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128842540&doi=10.1007%2fs10708-022-10648-x&partnerID=40&md5=7bbff2dc3da007105858b081b81383c5","Department of Geography, Swansea University, Swansea, SA2 8PP, United Kingdom","Doel M.A., Department of Geography, Swansea University, Swansea, SA2 8PP, United Kingdom","Film geography; Gilles Deleuze; Into eternity: a film for the future; Michael Madsen; Movement-image; Time-image","Film geography; Gille deleuze; Into eternity: a film for the future; Literals; Michael madsen; Movement-image; Nuclear waste disposal facility; Power; Time-image; cultural geography; future prospect; image analysis; waste disposal; Waste disposal","","","","","",""
"Cavaleri Gerhardinger L.; Brodie Rudolph T.; Gaill F.; Mortyn G.; Littley E.; Vincent A.; Firme Herbst D.; Ziveri P.; Jeanneau L.; Laamanen M.; Cavallé M.; Marisca Gietzelt J.; Glaser M.; Chambon M.; Jacquemont J.; Ahmed Selim S.; Brugere C.; Brito C.; Pereira L.M.; Amezaga S.; Muñoz N.F.; Becquet L.; Lalo A.; Colonese A.C.","Cavaleri Gerhardinger, Leopoldo (58551765300); Brodie Rudolph, Tanya (57218612337); Gaill, Françoise (35579738100); Mortyn, Graham (58299326600); Littley, Eloise (57204392148); Vincent, Adrien (58551649900); Firme Herbst, Dannieli (58551765400); Ziveri, Patrizia (6701388855); Jeanneau, Louise (58551765500); Laamanen, Maria (6603251835); Cavallé, Marta (57208025275); Marisca Gietzelt, Jay (58551650000); Glaser, Marion (7103281929); Chambon, Mouna (58551540700); Jacquemont, Juliette (57712941400); Ahmed Selim, Samiya (58551650100); Brugere, Cecile (8306660900); Brito, Cristina (58583542000); Pereira, Laura M. (36626441000); Amezaga, Sandra (58551319200); Muñoz, Nicolás Fernández (58551540800); Becquet, Lucas (58551319300); Lalo, Arnaud (58551765600); Colonese, André Carlo (12807558000)","58551765300; 57218612337; 35579738100; 58299326600; 57204392148; 58551649900; 58551765400; 6701388855; 58551765500; 6603251835; 57208025275; 58551650000; 7103281929; 58551540700; 57712941400; 58551650100; 8306660900; 58583542000; 36626441000; 58551319200; 58551540800; 58551319300; 58551765600; 12807558000","Bridging Shades of Blue: Co-constructing Knowledge with the International Panel for Ocean Sustainability","2023","Coastal Management","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168896328&doi=10.1080%2f08920753.2023.2244082&partnerID=40&md5=8f7347a6298b501f6f8287fe8ef893ec","Universitat Autònoma de Barcelona, Edifici B Facultat de Filosofia i Lletres, Barcelona, Spain; Centre for Sustainability Transitions, Stellenbosch University, Stellenbosch, South Africa; Ocean Sustainability Foundation, Paris, France; The French National Centre for Scientific Research (CNRS), Paris, France; Department of Geography, Institute of Environmental Science and Technology (ICTA-UAB), Universitat Autònoma de Barcelona, Edifici ICTA-ICP, Barcelona, Spain; Albatros Advisory, Paris, France; European Commission, Brussels, Belgium; Low Impact Fishers of Europe (LIFE), Brussels, Belgium; Environmental Systems Analysis Group, Wageningen University, Wageningen, Netherlands; Centre for Tropical Marine Research (ZMT), Bremen, Germany; Institute for Geography, University of Bremen, Bremen, Germany; School of Aquatic and Fishery Sciences, University of Washington, Seattle, WA, United States; University of Liberal Arts Bangladesh, Dhaka, Bangladesh; Soulfish Research & Consultancy, York, United Kingdom; CHAM-Center for the Humanities, NOVAFCSH, Lisbon, Portugal; Global Change Institute, University of the Witwatersrand, Johannesburg, South Africa; AKTEA–European Network of Women in Fisheries and Aquaculture, Brussels, Belgium; Organización de Productores Pesqueros Artesanales Lonja de Conil OPP 72, Conil de la Frontera, Spain; Institute of Environmental Science and Technology (ICTA-UAB), Universitat Autònoma de Barcelona, Edifici ICTA-ICP, Barcelona, Spain; Catalan Institution for Research and Advanced Studies (ICREA), Barcelona, Spain","Cavaleri Gerhardinger L., Universitat Autònoma de Barcelona, Edifici B Facultat de Filosofia i Lletres, Barcelona, Spain, Institute of Environmental Science and Technology (ICTA-UAB), Universitat Autònoma de Barcelona, Edifici ICTA-ICP, Barcelona, Spain; Brodie Rudolph T., Centre for Sustainability Transitions, Stellenbosch University, Stellenbosch, South Africa; Gaill F., Ocean Sustainability Foundation, Paris, France, The French National Centre for Scientific Research (CNRS), Paris, France; Mortyn G., Department of Geography, Institute of Environmental Science and Technology (ICTA-UAB), Universitat Autònoma de Barcelona, Edifici ICTA-ICP, Barcelona, Spain; Littley E., Universitat Autònoma de Barcelona, Edifici B Facultat de Filosofia i Lletres, Barcelona, Spain; Vincent A., Albatros Advisory, Paris, France; Firme Herbst D., Universitat Autònoma de Barcelona, Edifici B Facultat de Filosofia i Lletres, Barcelona, Spain; Ziveri P., Universitat Autònoma de Barcelona, Edifici B Facultat de Filosofia i Lletres, Barcelona, Spain, Catalan Institution for Research and Advanced Studies (ICREA), Barcelona, Spain; Jeanneau L., Ocean Sustainability Foundation, Paris, France; Laamanen M., European Commission, Brussels, Belgium; Cavallé M., Low Impact Fishers of Europe (LIFE), Brussels, Belgium; Marisca Gietzelt J., Environmental Systems Analysis Group, Wageningen University, Wageningen, Netherlands; Glaser M., Centre for Tropical Marine Research (ZMT), Bremen, Germany, Institute for Geography, University of Bremen, Bremen, Germany; Chambon M., Universitat Autònoma de Barcelona, Edifici B Facultat de Filosofia i Lletres, Barcelona, Spain; Jacquemont J., School of Aquatic and Fishery Sciences, University of Washington, Seattle, WA, United States; Ahmed Selim S., University of Liberal Arts Bangladesh, Dhaka, Bangladesh; Brugere C., Soulfish Research & Consultancy, York, United Kingdom; Brito C., CHAM-Center for the Humanities, NOVAFCSH, Lisbon, Portugal; Pereira L.M., Global Change Institute, University of the Witwatersrand, Johannesburg, South Africa; Amezaga S., AKTEA–European Network of Women in Fisheries and Aquaculture, Brussels, Belgium; Muñoz N.F., Organización de Productores Pesqueros Artesanales Lonja de Conil OPP 72, Conil de la Frontera, Spain; Becquet L., Ocean Sustainability Foundation, Paris, France; Lalo A., The French National Centre for Scientific Research (CNRS), Paris, France; Colonese A.C., Universitat Autònoma de Barcelona, Edifici B Facultat de Filosofia i Lletres, Barcelona, Spain","global environmental assessment; IPOS; Ocean sustainability; participatory mapping; science-policy-society interface","Spain; Bridges; Environmental impact; Oceanography; Sustainable development; Coastal management; Decisions makings; Environmental assessment; Global environmental assessment; International panel for ocean sustainability; Ocean management; Ocean sustainability; Participatory mapping; Science policies; Science-policy-society interface; coastal zone management; environmental assessment; knowledge; participatory approach; stakeholder; sustainability; Decision making","CNRS Foundation; EarlyFoods, (2021 SGR 00527); European Maritime Fisheries and Aquaculture Fund, (MARE/2022/VLVP/0025); Ocean Sustainability Foundation; Oceanography Society; Horizon 2020 Framework Programme, H2020, (817911); European Research Council, ERC; Ministerio de Ciencia e Innovación, MICINN, (CEX2019-000940-M)","","","","",""
"Samrat A.; Purse B.V.; Vanak A.; Chaudhary A.; Uday G.; Rahman M.; Hassall R.; George C.; Gerard F.","Samrat, Abhishek (57216568110); Purse, Bethan V. (6603159674); Vanak, Abi (19337914500); Chaudhary, Anusha (58134149400); Uday, Gowri (57210601064); Rahman, Mujeeb (57217464385); Hassall, Richard (57997521100); George, Charles (8654499000); Gerard, France (35565587500)","57216568110; 6603159674; 19337914500; 58134149400; 57210601064; 57217464385; 57997521100; 8654499000; 35565587500","Producing context specific land cover and land use maps of human-modified tropical forest landscapes for infectious disease applications","2024","Science of the Total Environment","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178654513&doi=10.1016%2fj.scitotenv.2023.168772&partnerID=40&md5=87b1adf11701e1bafca59d897b5b371d","Ashoka Trust for Research in Ecology and the Environment (ATREE), Srirampura, Jakkur post, Bengaluru, 560064, India; UK Centre for Ecology and Hydrology (UKCEH), Maclean Building, Crowmarsh Gifford, Oxon, Wallingford, OX10 8BB, United Kingdom; Centre for Wildlife Studies (CWS), 37/5, Yellappa Chetty Layout, Ulsoor Road, Bengaluru, 560064, India; Quantitative Disease Ecology and Conservation (QDEC) Lab Group, Department of Geography, University of Florida, Gainesville, FL, United States; School of Engineering and Computing, University of Central Lancashire, Preston, PR1 2HE, United Kingdom","Samrat A., Ashoka Trust for Research in Ecology and the Environment (ATREE), Srirampura, Jakkur post, Bengaluru, 560064, India, Centre for Wildlife Studies (CWS), 37/5, Yellappa Chetty Layout, Ulsoor Road, Bengaluru, 560064, India, School of Engineering and Computing, University of Central Lancashire, Preston, PR1 2HE, United Kingdom; Purse B.V., UK Centre for Ecology and Hydrology (UKCEH), Maclean Building, Crowmarsh Gifford, Oxon, Wallingford, OX10 8BB, United Kingdom; Vanak A., Ashoka Trust for Research in Ecology and the Environment (ATREE), Srirampura, Jakkur post, Bengaluru, 560064, India; Chaudhary A., Ashoka Trust for Research in Ecology and the Environment (ATREE), Srirampura, Jakkur post, Bengaluru, 560064, India, Quantitative Disease Ecology and Conservation (QDEC) Lab Group, Department of Geography, University of Florida, Gainesville, FL, United States; Uday G., Ashoka Trust for Research in Ecology and the Environment (ATREE), Srirampura, Jakkur post, Bengaluru, 560064, India; Rahman M., Ashoka Trust for Research in Ecology and the Environment (ATREE), Srirampura, Jakkur post, Bengaluru, 560064, India; Hassall R., UK Centre for Ecology and Hydrology (UKCEH), Maclean Building, Crowmarsh Gifford, Oxon, Wallingford, OX10 8BB, United Kingdom; George C., UK Centre for Ecology and Hydrology (UKCEH), Maclean Building, Crowmarsh Gifford, Oxon, Wallingford, OX10 8BB, United Kingdom; Gerard F., UK Centre for Ecology and Hydrology (UKCEH), Maclean Building, Crowmarsh Gifford, Oxon, Wallingford, OX10 8BB, United Kingdom","ESA CCI land cover; Hansen global forest change; Multiple map iterations; Regional land cover; Western Ghats; Zoonotic diseases","Biodiversity; Communicable Diseases; Conservation of Natural Resources; Ecosystem; Forests; Humans; India; Kerala; Maharashtra; Sindhudurg; Wayanad; Cultivation; Diseases; Ecosystems; Forestry; Land use; Landsat; Mapping; Reservoirs (water); Tropics; ESA CCI land cover; Forest change; Hansen global forest change; Infectious disease; Land cover; Multiple map iteration; Regional land cover; Western ghats; Zoonotic disease; infectious disease; land cover; land use; satellite data; tropical forest; Article; biodiversity; crop; ecosystem; habitat; infection; land use; landscape; thematic analysis; tropical forest; zoonosis; communicable disease; ecosystem; environmental protection; forest; human; Biodiversity","UK Research and Innovation, UKRI, (MR/T029846/1, NE/R000131/1); Medical Research Council, MRC; Arts and Humanities Research Council, AHRC; Biotechnology and Biological Sciences Research Council, BBSRC; Natural Environment Research Council, NERC, (MR/P024335/1, MR/P024335/2)","","","","",""
"Ryan A.A.; Moore K.","Ryan, Assumpta A. (55785375600); Moore, Kevin (35722462900)","55785375600; 35722462900","'Knowing me, knowing you': An exploration of the views and experiences of nursing home residents and staff on their nursing home as 'home'","2023","Ageing and Society","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110007785&doi=10.1017%2fS0144686X21000787&partnerID=40&md5=cc9fea6ac09922e201f6c1b081c31ad2","School of Nursing, Institute of Nursing and Health Research, Ulster University, Derry, United Kingdom","Ryan A.A., School of Nursing, Institute of Nursing and Health Research, Ulster University, Derry, United Kingdom; Moore K., School of Nursing, Institute of Nursing and Health Research, Ulster University, Derry, United Kingdom","home; nursing home; relationships; residents; staff","elderly care; elderly population; environmental conditions; health worker; perception; qualitative analysis; sense of place; social behavior; workplace; adult; article; clinical article; female; foot; grounded theory; human; interview; nursing home patient; personnel shortage","","","","","",""
"Murrani S.; Lloyd H.; Popovici I.-C.","Murrani, Sana (57190225001); Lloyd, Helen (36938324000); Popovici, Ioana-Cristina (56088261500)","57190225001; 36938324000; 56088261500","Mapping home, memory and spatial recovery in forced displacement","2023","Social and Cultural Geography","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127118817&doi=10.1080%2f14649365.2022.2055777&partnerID=40&md5=b98bec5d29972327b6af3e4afb48adae","School of Art, Design and Architecture, University of Plymouth, Plymouth, United Kingdom; School of Psychology, University of Plymouth, Plymouth, United Kingdom","Murrani S., School of Art, Design and Architecture, University of Plymouth, Plymouth, United Kingdom; Lloyd H., School of Psychology, University of Plymouth, Plymouth, United Kingdom; Popovici I.-C., School of Art, Design and Architecture, University of Plymouth, Plymouth, United Kingdom","forced displacement; Home; memory; participatory mapping; recovery; spatial practice","England; United Kingdom; asylum seeker; displacement; forced migration; mapping; memory; participatory approach; refugee; spatial analysis","Sustainable Earth Institute; European Cultural Foundation, ECF, (RD201809); Plymouth University","","","","",""
"Ahmad M.; Hall S.G.","Ahmad, Mahyudin (56316245700); Hall, Stephen G. (7402711415)","56316245700; 7402711415","The growth effects of economic and political institutions: new evidence from spatial econometrics analysis using historical-based institutional matrix","2023","Economic Change and Restructuring","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139512419&doi=10.1007%2fs10644-022-09440-1&partnerID=40&md5=42e479e26f8c77f597fffc11115b682a","Faculty of Business and Management, Universiti Teknologi MARA (UiTM) Perlis Branch, Perlis, Arau, 02600, Malaysia; Accounting Research Institute (ARI), Universiti Teknologi MARA, Selangor, Shah Alam, 40450, Malaysia; School of Business, University of Leicester, London Road, Leicester, LE2 1RQ, United Kingdom","Ahmad M., Faculty of Business and Management, Universiti Teknologi MARA (UiTM) Perlis Branch, Perlis, Arau, 02600, Malaysia, Accounting Research Institute (ARI), Universiti Teknologi MARA, Selangor, Shah Alam, 40450, Malaysia; Hall S.G., School of Business, University of Leicester, London Road, Leicester, LE2 1RQ, United Kingdom","Colonial origin; Growth spillovers; Institutional proximity; Legal origin; Spatial panel estimation","colonialism; econometrics; economic growth; historical perspective; institutional framework; legislation; panel data; politics; spatial analysis; spillover effect","","","","","",""
"Slade A.L.; Recchioni A.; Aiyegbusi O.L.; Retzer A.; Nice L.; Dancey E.; Calvert M.J.; Rauz S.","Slade, Anita L. (7005885043); Recchioni, Alberto (56786049900); Aiyegbusi, Olalekan L. (57191580605); Retzer, Ameeta (57201482065); Nice, Laura (57203839546); Dancey, Elizabeth (57200227354); Calvert, Melanie J. (57205975483); Rauz, Saaeha (57214593426)","7005885043; 56786049900; 57191580605; 57201482065; 57203839546; 57200227354; 57205975483; 57214593426","Identifying patient-valued outcomes for use in early phase trials of ocular surface disease interventions","2023","Ocular Surface","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166537168&doi=10.1016%2fj.jtos.2023.07.005&partnerID=40&md5=656d8ca4f5e209d4383435386a72aef4","Centre for Patient Reported Outcomes Research, Institute of Applied Health Research, University of Birmingham, Edgbaston, Birmingham, United Kingdom; National Institute for Health and Care Research (NIHR) Applied Research Collaboration West Midlands, Birmingham, United Kingdom; NIHR Birmingham Biomedical Research Centre, University of Birmingham, United Kingdom; NIHR Surgical Reconstruction and Microbiology Research Centre, University of Birmingham, United Kingdom; Academic Unit of Ophthalmology, Institute of Inflammation and Ageing, University of Birmingham, United Kingdom; Birmingham & Midland Eye Centre, Sandwell and West Birmingham NHS Trust, Birmingham, United Kingdom; Birmingham Health Partners Centre for Regulatory Science and Innovation, University of Birmingham, United Kingdom; NIHR Blood and Transplant Research Unit (BTRU) in Precision Transplant and Cellular Therapeutics, University of Birmingham, Birmingham, United Kingdom; Institute of Translational Medicine, Queen Elizabeth Hospital, University Hospital Birmingham NHS Foundation Trust, Birmingham, United Kingdom","Slade A.L., Centre for Patient Reported Outcomes Research, Institute of Applied Health Research, University of Birmingham, Edgbaston, Birmingham, United Kingdom, National Institute for Health and Care Research (NIHR) Applied Research Collaboration West Midlands, Birmingham, United Kingdom, NIHR Birmingham Biomedical Research Centre, University of Birmingham, United Kingdom, NIHR Surgical Reconstruction and Microbiology Research Centre, University of Birmingham, United Kingdom; Recchioni A., Academic Unit of Ophthalmology, Institute of Inflammation and Ageing, University of Birmingham, United Kingdom, Birmingham & Midland Eye Centre, Sandwell and West Birmingham NHS Trust, Birmingham, United Kingdom; Aiyegbusi O.L., Centre for Patient Reported Outcomes Research, Institute of Applied Health Research, University of Birmingham, Edgbaston, Birmingham, United Kingdom, National Institute for Health and Care Research (NIHR) Applied Research Collaboration West Midlands, Birmingham, United Kingdom, NIHR Birmingham Biomedical Research Centre, University of Birmingham, United Kingdom, NIHR Surgical Reconstruction and Microbiology Research Centre, University of Birmingham, United Kingdom, Birmingham Health Partners Centre for Regulatory Science and Innovation, University of Birmingham, United Kingdom, NIHR Blood and Transplant Research Unit (BTRU) in Precision Transplant and Cellular Therapeutics, University of Birmingham, Birmingham, United Kingdom; Retzer A., Centre for Patient Reported Outcomes Research, Institute of Applied Health Research, University of Birmingham, Edgbaston, Birmingham, United Kingdom, National Institute for Health and Care Research (NIHR) Applied Research Collaboration West Midlands, Birmingham, United Kingdom, NIHR Birmingham Biomedical Research Centre, University of Birmingham, United Kingdom; Nice L., Centre for Patient Reported Outcomes Research, Institute of Applied Health Research, University of Birmingham, Edgbaston, Birmingham, United Kingdom, NIHR Surgical Reconstruction and Microbiology Research Centre, University of Birmingham, United Kingdom, Institute of Translational Medicine, Queen Elizabeth Hospital, University Hospital Birmingham NHS Foundation Trust, Birmingham, United Kingdom; Dancey E., Academic Unit of Ophthalmology, Institute of Inflammation and Ageing, University of Birmingham, United Kingdom; Calvert M.J., Centre for Patient Reported Outcomes Research, Institute of Applied Health Research, University of Birmingham, Edgbaston, Birmingham, United Kingdom, National Institute for Health and Care Research (NIHR) Applied Research Collaboration West Midlands, Birmingham, United Kingdom, NIHR Birmingham Biomedical Research Centre, University of Birmingham, United Kingdom, NIHR Surgical Reconstruction and Microbiology Research Centre, University of Birmingham, United Kingdom, Birmingham Health Partners Centre for Regulatory Science and Innovation, University of Birmingham, United Kingdom, NIHR Blood and Transplant Research Unit (BTRU) in Precision Transplant and Cellular Therapeutics, University of Birmingham, Birmingham, United Kingdom; Rauz S., Academic Unit of Ophthalmology, Institute of Inflammation and Ageing, University of Birmingham, United Kingdom, Birmingham & Midland Eye Centre, Sandwell and West Birmingham NHS Trust, Birmingham, United Kingdom","Dry eye disease and public involvement; Early phase clinical trials; Group concept mapping; Ocular surface disease; Patient reported outcomes","Humans; Patient Reported Outcome Measures; Quality of Life; Sjogren's Syndrome; aged; air conditioning; Article; autoimmune disease; clinical article; clinical trial (topic); concept mapping; daily life activity; dry eye; dry eye syndrome; embarrassment; environmental impact; fatigue; female; hierarchical clustering; human; humidity; male; multidimensional scaling; ocular surface disease; patient worry; patient-reported outcome; quality of life; reference value; Sjoegren syndrome; support group; systematic review; thematic analysis; treatment outcome; United Kingdom; weather; xerostomia; patient-reported outcome; Sjoegren syndrome","Birmingham Health Partners , Sandwell and West Birmingham NHS Trust (UK); GSK Pharma; NIHR ARC; NIHR BTRU; National Institutes of Health, NIH; National Eye Institute, NEI; Gilead Sciences; Sarcoma UK, SUK; University Hospitals Birmingham NHS Foundation Trust; UK Research and Innovation, UKRI; Medical Research Council, MRC; National Institute for Health and Care Research, NIHR; Sight Research UK, SRUK; Fight for Sight UK; University of Birmingham; Innovate UK; Birmingham Biomedical Research Centre; Health Data Research UK, HDR UK","","","","",""
"Atzeni L.; Ilany A.; Geffen E.; Cushman S.A.; Kaszta Z.; Macdonald D.W.","Atzeni, Luciano (57203336649); Ilany, Amiyaal (23089192500); Geffen, Eli (7004171247); Cushman, Samuel A. (7006293279); Kaszta, Zaneta (56203873600); Macdonald, David W. (7401463172)","57203336649; 23089192500; 7004171247; 7006293279; 56203873600; 7401463172","Reviving the Arabian leopard: Harnessing historical data to map habitat and pave the way for reintroduction","2024","Biological Conservation","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184610503&doi=10.1016%2fj.biocon.2024.110440&partnerID=40&md5=e299e31eb873413cb027da534f0fdac8","Wildlife Conservation Research Unit (WildCRU), Department of Biology, The Recanati-Kaplan Centre, Tubney House, University of Oxford, Oxford, United Kingdom; The Mina and Everard Goodman Faculty of Life Sciences, Bar-Ilan University, Ramat-Gan, 590002, Israel; School of Zoology, Tel Aviv University, Tel Aviv, 69978, Israel","Atzeni L., Wildlife Conservation Research Unit (WildCRU), Department of Biology, The Recanati-Kaplan Centre, Tubney House, University of Oxford, Oxford, United Kingdom; Ilany A., The Mina and Everard Goodman Faculty of Life Sciences, Bar-Ilan University, Ramat-Gan, 590002, Israel; Geffen E., School of Zoology, Tel Aviv University, Tel Aviv, 69978, Israel; Cushman S.A., Wildlife Conservation Research Unit (WildCRU), Department of Biology, The Recanati-Kaplan Centre, Tubney House, University of Oxford, Oxford, United Kingdom; Kaszta Z., Wildlife Conservation Research Unit (WildCRU), Department of Biology, The Recanati-Kaplan Centre, Tubney House, University of Oxford, Oxford, United Kingdom; Macdonald D.W., Wildlife Conservation Research Unit (WildCRU), Department of Biology, The Recanati-Kaplan Centre, Tubney House, University of Oxford, Oxford, United Kingdom","Arabian leopard; Home-range analysis; Judean Desert; Multiple-scale species distribution model; Nubian ibex; Reintroduction","Israel; Occupied Territories; West Bank; captive breeding; felid; historical record; home range; niche overlap; protected area; reintroduction; spatial analysis","Israeli Nature & Parks Authority; Society for the Protection of Nature in Israel","","","","",""
